pipeline_name,state_name,label_space,group_id,k,units_total,duplicate_units,excess_duplicates_total,synergies_total,units_nsyn_gt_k,duplicate_pairs_total,within_unit_pairs_total,scope,duplicate_unit_rate,excess_duplicate_ratio,duplicate_pair_rate,units_nsyn_gt_k_rate,gap_statistic,gap_sd,objective_sse,point_to_centroid_sq_sum,point_to_centroid_sum,selected_k_flag,selection_rule,algorithm_used
paper_like,state1_paper_like_unconstrained,raw_group_label,global_nonstep,12,72,5,5,270,0,5,408,group,0.06944444444444445,0.018518518518518517,0.012254901960784314,0.0,1.1969921031156119,0.020383564996753582,62.4705772937331,62.47057729373309,125.66317832895852,false,gap_statistic_first_k_ge_gap_next_minus_sd,
paper_like,state1_paper_like_unconstrained,raw_group_label,global_nonstep,13,72,2,2,270,0,2,408,group,0.027777777777777776,0.007407407407407408,0.004901960784313725,0.0,1.2177712043758513,0.014927000743305325,60.11549538589557,60.11549538589563,123.34921826153128,false,gap_statistic_first_k_ge_gap_next_minus_sd,
paper_like,state1_paper_like_unconstrained,raw_group_label,global_nonstep,14,72,2,2,270,0,2,408,group,0.027777777777777776,0.007407407407407408,0.004901960784313725,0.0,1.2438118938813556,0.010062725542543553,57.566236833989976,57.56623683398997,121.61559783077041,false,gap_statistic_first_k_ge_gap_next_minus_sd,
paper_like,state1_paper_like_unconstrained,raw_group_label,global_nonstep,15,72,1,1,270,0,1,408,group,0.013888888888888888,0.003703703703703704,0.0024509803921568627,0.0,1.2646137612818116,0.03136995538245763,55.20347909864779,55.20347909864777,119.1897757994396,false,gap_statistic_first_k_ge_gap_next_minus_sd,
paper_like,state1_paper_like_unconstrained,raw_group_label,global_nonstep,16,72,1,1,270,0,1,408,group,0.013888888888888888,0.003703703703703704,0.0024509803921568627,0.0,1.2585169004156929,0.03503690412402796,54.30574637648385,54.30574637648382,117.29782953655511,false,gap_statistic_first_k_ge_gap_next_minus_sd,
paper_like,state1_paper_like_unconstrained,raw_group_label,global_nonstep,17,72,3,3,270,0,3,408,group,0.041666666666666664,0.011111111111111112,0.007352941176470588,0.0,1.2605768610934418,0.02111011092747083,53.351102924779795,53.351102924779774,116.91201743559995,false,gap_statistic_first_k_ge_gap_next_minus_sd,
paper_like,state1_paper_like_unconstrained,raw_group_label,global_nonstep,18,72,0,0,270,0,0,408,group,0.0,0.0,0.0,0.0,1.2950271694693667,0.01280967469856719,51.33577163199798,51.335771631997986,114.20638776651134,false,gap_statistic_first_k_ge_gap_next_minus_sd,
paper_like,state1_paper_like_unconstrained,raw_group_label,global_nonstep,19,72,0,0,270,0,0,408,group,0.0,0.0,0.0,0.0,1.3085231047585668,0.013345860209897056,50.10476746348654,50.10476746348651,112.71795074533631,false,gap_statistic_first_k_ge_gap_next_minus_sd,
paper_like,state1_paper_like_unconstrained,raw_group_label,global_nonstep,20,72,1,1,270,0,1,408,group,0.013888888888888888,0.003703703703703704,0.0024509803921568627,0.0,1.3137843044982458,0.011215154000326731,49.655873946792546,49.65587394679258,112.50887927064144,false,gap_statistic_first_k_ge_gap_next_minus_sd,
paper_like,state1_paper_like_unconstrained,raw_group_label,global_step,2,53,50,128,233,49,197,444,group,0.9433962264150944,0.5493562231759657,0.4436936936936937,0.9245283018867925,0.6650477974724467,0.006799272192328933,120.81289474902792,120.81289474902789,164.86729993308347,false,gap_statistic_first_k_ge_gap_next_minus_sd,
