group_id,cluster_id,frame_idx,h_value
global_nonstep,4,16,0.1081631258
global_nonstep,4,17,0.1067126170
global_nonstep,4,18,0.1243917271
global_nonstep,4,19,0.1341451854
global_nonstep,4,20,0.1520850062
global_nonstep,4,21,0.1288108975
global_nonstep,4,22,0.0962944627
global_nonstep,4,23,0.1141095534
global_nonstep,4,24,0.1373030841
global_nonstep,4,25,0.1192979738
global_nonstep,4,26,0.1082414687
global_nonstep,4,27,0.1129583269
global_nonstep,4,28,0.1155661643
global_nonstep,4,29,0.1034960225
global_nonstep,4,30,0.1046688408
global_nonstep,4,31,0.1066985354
global_nonstep,4,32,0.1202014163
global_nonstep,4,33,0.1446969807
global_nonstep,4,34,0.1488947570
global_nonstep,4,35,0.1425907016
global_nonstep,4,36,0.1625658870
global_nonstep,4,37,0.1707515121
global_nonstep,4,38,0.2058359534
global_nonstep,4,39,0.2540811300
global_nonstep,4,40,0.2948693335
global_nonstep,4,41,0.3377427757
global_nonstep,4,42,0.3608054817
global_nonstep,4,43,0.3670861721
global_nonstep,4,44,0.3599411845
global_nonstep,4,45,0.3301231265
global_nonstep,4,46,0.2861315012
global_nonstep,4,47,0.2530990541
global_nonstep,4,48,0.2366405427
global_nonstep,4,49,0.2165876776
global_nonstep,4,50,0.1890519261
global_nonstep,4,51,0.1740987897
global_nonstep,4,52,0.1721440107
global_nonstep,4,53,0.1875042468
global_nonstep,4,54,0.1964613795
global_nonstep,4,55,0.1911003590
global_nonstep,4,56,0.1844015270
global_nonstep,4,57,0.1866603792
global_nonstep,4,58,0.2023278326
global_nonstep,4,59,0.2146948129
global_nonstep,4,60,0.2192915678
global_nonstep,4,61,0.2161311060
global_nonstep,4,62,0.2259263992
global_nonstep,4,63,0.2416069806
global_nonstep,4,64,0.2539348602
global_nonstep,4,65,0.2647215128
global_nonstep,4,66,0.2682267129
global_nonstep,4,67,0.2585200369
global_nonstep,4,68,0.2403075248
global_nonstep,4,69,0.2100551277
global_nonstep,4,70,0.1862803251
global_nonstep,4,71,0.1828338504
global_nonstep,4,72,0.1874059141
global_nonstep,4,73,0.1997284442
global_nonstep,4,74,0.2086283863
global_nonstep,4,75,0.2075444758
global_nonstep,4,76,0.2034281641
global_nonstep,4,77,0.2198951393
global_nonstep,4,78,0.2418987006
global_nonstep,4,79,0.2566771507
global_nonstep,4,80,0.2473876625
global_nonstep,4,81,0.2425887287
global_nonstep,4,82,0.2483481318
global_nonstep,4,83,0.2616954148
global_nonstep,4,84,0.2775038183
global_nonstep,4,85,0.2796784341
global_nonstep,4,86,0.2662810981
global_nonstep,4,87,0.2423442006
global_nonstep,4,88,0.2375689149
global_nonstep,4,89,0.2441687733
global_nonstep,4,90,0.2594318092
global_nonstep,4,91,0.2734024227
global_nonstep,4,92,0.2615075111
global_nonstep,4,93,0.2389250994
global_nonstep,4,94,0.2292196602
global_nonstep,4,95,0.2213499397
global_nonstep,4,96,0.2025273740
global_nonstep,4,97,0.1898976117
global_nonstep,4,98,0.1727470607
global_nonstep,4,99,0.1515523046
